raiting,price(RUB),articul,CPU,RAM(GB),SSD(GB),GPU,RAM type,CPU cores,CPU frequency(GHZ),VRAM(GB),power supply(W)
4.8,49918,1653713417,amdryzen53600,32,512,nvidiageforcegtx1650,DDR4,6,3.6,4,350
3,101207,1652469098,intelcorei5-12600kf,32,1000,amdradeonrx7600xt,DDR4,10,3.7,16,600
4.6,17690,1348954322,intelcorei7-2600,16,1024,intelhdgraphics2000,DDR3,4,3.8,2,400
4.7,5867,1429035420,intelcorei3-2100,16,120,intelhdgraphics2000,DDR3,4,3500,2,300
5,99719,1652470887,intelcorei5-12400f,32,1000,nvidiageforcertx4060ti,DDR4,6,2.5,8,550
4.7,37798,1616503300,intelxeone5-2650v2,32,512,nvidiageforcertx2060,DDR3,8,3.4,6,500
4.9,401887,1653711691,amdryzen97900x,64,2000,nvidiageforcertx4090,DDR5,12,4.7,24,1000
5,62195,1431699241,intelcorei5-12400f,32,1000,nvidiageforcertx3050,DDR4,6,2.5,8,600
4.9,23232,1604934862,intelcorei5-6500,16,480,intelhdgraphics,DDR4,4,3.2,1,600
4.8,18283,772581968,intelcorei5-2400,16,512,intelhdgraphics,DDR3,4,3.1,1,600
5,41703,1135899579,amdryzen51600,16,1000,nvidiageforcegtx1660super,DDR4,6,3.6,6,600
4.8,34447,1688761597,intelcorei7-7700,64,1024,amdradeonrx580,DDR3,8,3.4,8,700
4.9,30370,1608847313,intelxeone5-2650v2,32,512,amdradeonrx580,DDR3,8,2.7,8,500
4.7,33626,1576264383,intelxeone5-2650v2,32,1024,amdradeonrx580,DDR3,8,2.6,8,600
4.6,24514,1598407194,intelcorei7-4770,16,512,amdradeonrx580,DDR3,4,3.4,8,500
5,84028,1652469947,intelcorei5-12400f,32,1000,nvidiageforcertx3060,DDR4,6,2.5,12,550
4.8,60030,1607905191,intelcorei5-11400f,16,256,amdradeonrx6600,DDR4,6,4.4,8,500
5,74395,1600291770,amdryzen55600,16,1024,nvidiageforcertx4060,DDR4,6,4.4,8,600
4.6,26696,1598374640,intelcorei7-4770,16,1024,nvidiageforcegtx1050ti,DDR3,4,3.4,4,500
4.7,11571,1431873140,intelcorei5-2300,16,512,intelhdgraphics620,DDR3,4,3100,8,300
4.5,6301,1637781355,amda10-6700,8,240,amdradeon,DDR3,4,3.7,8,240
5,142384,1652468687,intelcorei5-12400f,32,1000,nvidiageforcertx3090,DDR4,6,2.5,24,850
5,93118,1418571176,intelcorei7-12700f,32,960,nvidiageforcertx3060ti,DDR4,12,2.1,8,700
4.6,13329,1491181857,intelcorei5-6500,8,240,intelhdgraphics530,DDR4,4,3.6,8,450
4.7,10304,1431555426,intelcorei5-2300,16,240,intelhdgraphics620,DDR3,4,3100,8,300
5,89991,1652469757,intelcorei5-12400f,16,2000,nvidiageforcertx4060,DDR4,6,2.5,8,550
